nome,genero,data_nascimento,presenca_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_mai_par,gasto_jun_par,gasto_jul_par,gasto_ago_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_mai_gab,gasto_jun_gab,gasto_jul_gab,gasto_ago_gab,gasto_set_gab,gasto_out_gab
ENRICO VAN BLARCUM DE GRAAFF MISASI,M,06/08/1994,87,5,0,43,21,0,311478.65,24947.21,27020.22,42425.59,43740.70,54222.55,37817.19,41206.87,22642.88,16871.36,525.61,58.47,1106991.70,111586.88,111302.18,110816.09,106788.80,110974.20,110159.38,111013.37,111312.77,111544.46,111493.57
EROS FERREIRA BIONDINI,M,20/05/1971,88,0,4,33,14,1,271458.23,20515.33,28975.49,33405.69,31526.03,36712.77,29487.20,35290.07,20709.20,17992.30,15160.88,1683.27,836020.40,90223.04,90223.04,86035.27,78682.22,79786.71,78922.44,78922.44,79682.04,86771.60,86771.60
EUCLYDES MARCOS PETTERSEN NETO,M,15/08/1984,77,1,14,6,13,6,229414.98,39458.55,32301.23,28593.33,36303.64,35945.83,21880.35,11556.55,10510.19,6865.31,6000.00,0.00,1102008.88,101942.13,110241.46,111623.19,111623.22,111623.22,110951.73,109856.30,110901.19,111623.22,111623.22
EMIDIO ALVES MADEIRA JUNIOR,M,10/03/1967,80,0,12,16,2,4,299796.22,56761.57,45061.77,39330.09,32196.96,44434.07,26760.94,20847.93,15245.77,11938.26,7218.86,0.00,1114845.39,110980.22,110980.22,111528.12,111617.15,111623.22,111623.22,111623.28,111623.32,111623.32,111623.32
EVAIR VIEIRA DE MELO,M,02/04/1972,87,2,3,67,4,1,308184.85,38264.38,44663.80,61029.26,38441.09,43315.06,24394.91,23069.95,14844.44,2615.55,17430.15,116.26,1096962.77,106904.01,110527.26,107201.84,107178.21,108042.26,111172.72,111328.33,111555.88,111526.13,111526.13
FABIO HENRIQUE SANTANA DE CARVALHO,M,19/06/1972,90,2,0,75,22,0,368974.61,40955.79,38278.23,46688.34,53420.14,51837.95,35534.63,55589.55,24846.87,10956.64,10828.96,37.51,1103960.07,110763.22,111436.47,110870.47,105066.49,109456.57,110377.32,111465.54,111465.54,111465.54,111592.91
EXPEDITO GONCALVES FERREIRA NETTO,M,05/10/1988,82,1,9,2,16,3,210097.39,14767.54,30093.83,31810.97,30510.09,25416.15,18925.02,27570.19,12641.28,1388.85,15991.39,982.08,1099381.29,111544.33,111544.33,111544.33,111529.16,111539.45,111100.52,109785.83,109894.82,110132.19,100766.33
FÁBIO AUGUSTO RAMALHO DOS SANTOS,M,22/12/1961,88,4,0,19,17,0,279623.33,37959.25,45891.80,34431.36,27698.63,36101.94,23280.97,25058.29,19706.66,16954.06,11293.22,1247.15,1073082.80,106849.52,105995.76,104102.48,110337.36,103699.99,104762.87,104762.87,110775.07,111665.77,110131.11
FABIO CRUZ MITIDIERI,M,24/02/1977,54,8,10,17,19,8,227041.28,35258.61,43620.72,33042.39,44648.72,45112.33,24812.68,545.83,,,,0.00,1085769.32,109876.31,106389.76,109876.31,109876.31,109876.31,107693.02,97566.52,111538.26,111538.26,111538.26
FABIO DE ALMEIDA REIS,M,15/04/1977,80,8,4,35,1,0,311152.08,39865.80,33581.68,32144.11,43493.01,38648.54,34772.71,32086.43,21185.40,13796.32,20587.04,991.04,1107209.05,108307.92,109336.37,109408.57,111574.66,111574.66,111574.66,111574.66,111574.66,111574.66,110708.23
FELIPE AUGUSTO LYRA CARRERAS,M,16/04/1975,77,11,4,70,41,1,169230.68,14274.35,20364.98,19915.93,14515.87,21740.82,16037.40,21745.42,29974.45,4715.52,5945.94,0.00,1110530.22,108137.52,111659.58,111659.58,111659.58,111659.58,111571.02,109331.88,111617.16,111617.16,111617.16
FÁBIO LUIZ SCHIOCHET FILHO,M,31/05/1988,85,4,3,20,5,2,366563.96,37195.31,40305.37,42043.11,46815.31,43700.43,50167.04,38185.13,25939.12,21593.26,17300.62,3319.26,1114119.12,111568.63,111568.63,111568.63,111568.63,111568.63,111544.55,111526.14,111107.56,111107.56,110990.16
FÁBIO RICARDO TRAD,M,18/08/1969,90,1,1,88,3,0,152297.71,9479.45,21339.35,11214.78,41034.10,25209.13,12053.32,5465.70,14089.48,2400.90,10011.50,0.00,1112229.14,111501.88,111501.88,111501.88,111324.76,111501.88,111501.88,111501.88,111501.88,110217.75,110173.47
FAUSTO RUY PINATO,M,01/06/1977,77,3,12,43,11,11,319737.01,23272.69,28054.73,37320.63,39811.88,63069.18,29443.84,35430.36,32548.24,26577.30,4208.16,0.00,980822.68,91753.84,90661.58,91078.38,93641.40,98083.43,98203.30,101733.13,105365.38,105151.12,105151.12
FELÍCIO LATERÇA DE ALMEIDA,M,26/05/1967,84,1,7,103,6,6,343719.83,33761.68,41861.86,62060.32,40359.41,38642.49,19555.55,32436.61,22935.73,20966.82,30530.69,608.67,1070004.37,103822.74,108245.62,111562.78,109721.17,92281.25,106166.20,108227.55,109988.01,108902.30,111086.75
LUIS FELIPE BONATTO FRANCISCHINI,M,02/10/1991,86,4,2,26,39,1,285261.63,36420.46,40851.46,28714.76,44628.80,52025.43,41969.22,15569.99,12110.34,3248.13,9523.04,200.00,1107177.89,111598.86,111598.86,111598.86,111598.86,111598.86,111598.86,111598.86,110754.73,107237.53,107993.61
FELIPE RIGONI LOPES,M,13/06/1991,86,0,6,84,32,7,304207.28,41526.20,36360.96,37743.41,40781.58,54439.33,34092.96,18297.10,23638.57,8762.92,8564.25,0.00,961510.10,97934.05,100493.35,100959.56,100959.56,104522.55,89598.50,80482.02,93565.41,93565.41,99429.69
FELIX DE ALMEIDA MENDONÇA JÚNIOR,M,29/11/1963,86,0,6,30,16,8,317051.45,30256.20,36235.51,35264.16,42584.56,50388.49,23719.29,43121.12,20178.34,14497.37,19187.20,1619.21,1093456.69,111574.69,111574.69,111574.69,111574.69,111574.69,99983.33,107556.02,108772.32,109170.84,110100.73
ALCIBIO MESQUITA BIBO NUNES,M,09/01/1957,90,1,1,33,23,0,439324.04,36377.50,114136.35,111815.04,46216.96,43243.88,31393.94,31363.41,20069.13,4504.01,203.82,0.00,978080.61,107838.27,106661.35,107626.01,107100.08,108678.71,110863.76,102938.79,80792.43,71989.13,73592.08
LUIZ BENES LEOCADIO DE ARAUJO,M,22/04/1966,88,1,3,35,6,2,344846.46,32697.33,37181.80,51640.86,47232.83,43851.34,39594.20,33482.93,21709.18,17997.68,19068.31,390.00,1070001.74,110203.77,110203.77,106658.99,104203.11,106527.95,105841.47,105921.33,105964.18,107249.74,107227.43
OLAVO BILAC PINTO NETO,M,08/06/1963,80,7,5,54,7,3,366957.28,38107.55,39391.23,36766.95,36370.18,36320.33,35989.93,35978.06,36058.35,36004.29,35970.41,0.00,1114014.41,111532.26,111532.26,111532.26,111532.26,111532.26,110224.07,111532.26,111532.26,111532.26,111532.26
JOSÉ ROBERTO OLIVEIRA FARO,M,20/06/1969,82,10,0,5,17,0,343680.40,50640.64,51528.80,51595.33,38245.47,56264.93,15343.49,16815.59,14152.72,12879.36,8054.07,28160.00,1107132.60,111210.84,110666.21,109899.05,111210.84,111210.84,110568.67,110434.02,111210.84,111210.84,109510.45
HUMBERTO REZENDE PEREIRA,M,14/11/1977,87,3,2,29,42,3,317620.57,31302.38,37733.45,46071.17,46424.41,43050.57,37786.28,29839.31,16128.37,5877.55,23407.08,0.00,1114088.41,111514.04,111586.80,110868.87,111514.00,111457.65,111586.78,110672.43,111629.28,111629.28,111629.28
CARLOS ALBERTO DE SOUSA ROSADO SEGUNDO,M,01/02/1982,77,2,13,18,7,9,411553.49,37157.27,49871.28,47518.82,51520.30,44584.40,32245.60,35040.79,36239.48,25857.60,51517.95,0.00,1114457.24,111436.53,111580.74,111495.03,111145.61,111498.95,111507.99,111507.99,111485.68,111392.71,111406.01
UBIRAJARA DO PINDARÉ ALMEIDA SOUSA,M,01/11/1968,82,0,10,21,26,10,387766.48,20679.85,23825.08,34402.73,76284.21,96746.00,27251.80,28044.88,18372.93,31746.67,30336.85,75.48,1115746.50,111574.65,111574.65,111574.65,111574.65,111574.65,111574.65,111574.65,111574.65,111574.65,111574.65
JOÃO BOSCO GOMES SARAIVA,M,10/10/1959,71,18,3,16,9,1,439146.04,36572.34,70842.66,44263.27,65965.82,34723.62,32000.51,62345.58,33068.34,15213.66,42105.16,2045.08,1112738.23,111611.12,111611.12,109394.55,111611.12,111611.12,111393.56,111146.01,111574.73,111574.73,111210.17
